,Product Collection,Processor Number,Code Name,Total Cores,Launch Date,Intel® VT-x with Extended Page Tables (EPT) ‡,Vertical Segment,Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Quarter,Year
0,5th Generation Intel® Xeon® Scalable Processors,3508U,Products formerly Sapphire Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
1,5th Generation Intel® Xeon® Scalable Processors,5512U,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
2,5th Generation Intel® Xeon® Scalable Processors,5515+,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
3,5th Generation Intel® Xeon® Scalable Processors,5520+,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
4,5th Generation Intel® Xeon® Scalable Processors,6526Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
5,5th Generation Intel® Xeon® Scalable Processors,6530,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
6,5th Generation Intel® Xeon® Scalable Processors,6534,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
7,5th Generation Intel® Xeon® Scalable Processors,6538N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
8,5th Generation Intel® Xeon® Scalable Processors,6538Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
9,5th Generation Intel® Xeon® Scalable Processors,6542Y,Products formerly Emerald Rapids,24,Q4'23,Yes,Server,nan,Yes,Yes,4,23
10,5th Generation Intel® Xeon® Scalable Processors,6544Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
11,5th Generation Intel® Xeon® Scalable Processors,6548N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
12,5th Generation Intel® Xeon® Scalable Processors,6548Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
13,5th Generation Intel® Xeon® Scalable Processors,6554S,Products formerly Emerald Rapids,36,Q4'23,Yes,Server,nan,Yes,Yes,4,23
14,5th Generation Intel® Xeon® Scalable Processors,6558Q,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
15,5th Generation Intel® Xeon® Scalable Processors,8558,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
16,5th Generation Intel® Xeon® Scalable Processors,8558P,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
17,5th Generation Intel® Xeon® Scalable Processors,8558U,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
