,Model number,sSpec number,Frequency,Turbo,Cores,L2 cache,L3 cache,I/O bus,Mult.,Memory,Voltage,TDP,Socket,Release date,Part number(s),Release price (USD),Unnamed: 16,GPU frequency
0,Xeon X3430,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} SLBLJ (B1)",2.4 GHz,1/1/2/3,4,4 × 256 KB,8 MB,DMI,18×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"September 8, 2009",BX80605X3430 BV80605001914AG,$189,,
1,Xeon X3440,SLBLF (B1),2.53 GHz,1/1/2/3,4,4 × 256 KB,8 MB,DMI,19×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"September 8, 2009",BX80605X3440 BV80605002517AQ,$215,,
2,Xeon X3450,SLBLD (B1),2.67 GHz,1/1/4/4,4,4 × 256 KB,8 MB,DMI,20×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"September 8, 2009",BX80605X3450 BV80605001911AQ,$241,,
3,Xeon X3460,SLBJK (B1),2.8 GHz,1/1/4/5,4,4 × 256 KB,8 MB,DMI,21×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"September 8, 2009",BX80605X3460 BV80605001908AL,$316,,
4,Xeon X3470,SLBJH (B1),2.93 GHz,2/2/4/5,4,4 × 256 KB,8 MB,DMI,22×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"September 8, 2009",BX80605X3470 BV80605001905AJ,$589,,
5,Xeon X3480,SLBPT (B1),3.07 GHz,2/2/4/5,4,4 × 256 KB,8 MB,DMI,23×,2 × DDR3-1333,0.65–1.40 V,95 W,LGA 1156,"May 30, 2010",BX80605X3480 BV80605002505AH,$612,,
6,Xeon L3426,SLBN3 (B1),1.87 GHz,2/2/9/10,4,4 × 256 KB,8 MB,DMI,14×,2 × DDR3-1333,0.65–1.40 V,45 W,LGA 1156,"September 8, 2009",BX80605L3426 BV80605004737AA,$284,,
7,Xeon W3503,SLBGD (D0),2.4 GHz,—,2,2× 256 KB,4 MB,1 × 4.8 GT/s QPI,18×,3 × DDR3-1066,0.8–1.225 V,130 W,LGA 1366,"March 30, 2009",AT80601002868AA,OEM,,
8,Xeon W3505,SLBGC (D0),2.53 GHz,—,2,2× 256 KB,4 MB,1 × 4.8 GT/s QPI,19×,3 × DDR3-1066,0.8–1.225 V,130 W,LGA 1366,"March 30, 2009",AT80601002865AA,OEM,,
9,Xeon W3520,SLBEW (D0),2.67 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 4.8 GT/s QPI,20×,3 × DDR3-1066,0.8–1.375 V,130 W,LGA 1366,"March 30, 2009",AT80601000741AB,$284,,
10,Xeon W3530,SLBKR (D0),2.8 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 4.8 GT/s QPI,21×,3 × DDR3-1066,0.8–1.375 V,130 W,LGA 1366,"March 16, 2010",AT80601000897AB,$294,,
11,Xeon W3540,SLBEX (D0),2.93 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 4.8 GT/s QPI,22×,3 × DDR3-1066,0.8–1.375 V,130 W,LGA 1366,"March 30, 2009",AT80601000921AB,$562,,
12,Xeon W3550,SLBEY (D0),3.07 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 4.8 GT/s QPI,23×,3 × DDR3-1066,0.8–1.375 V,130 W,LGA 1366,"August 9, 2009",AT80601002112AB,$562,,
13,Xeon W3565,SLBEV (D0),3.2 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 4.8 GT/s QPI,24×,3 × DDR3-1066,0.8–1.225 V,130 W,LGA 1366,"November 1, 2009",AT80601002727AB,$562,,
14,Xeon W3570,SLBES (D0),3.2 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 6.4 GT/s QPI,24×,3 × DDR3-1333,0.8–1.375 V,130 W,LGA 1366,"March 30, 2009",AT80601000918AB,$999,,
15,Xeon W3580,SLBET (D0),3.33 GHz,1/1/1/2,4,4 × 256 KB,8 MB,1 × 6.4 GT/s QPI,25×,3 × DDR3-1333,0.8–1.375 V,130 W,LGA 1366,"August 9, 2009",AT80601002274AB,$999,,
16,Xeon LC3518,SLBWH (B0),1.73 GHz,—,1,1 × 256 KB,2 MB,DMI,13×,2× DDR3-800,0.75–1.35 V,23 W,LGA 1366,"February 11, 2010",AT80612002946AA,$192,,
17,Xeon LC3528,SLBWG (B0),1.73 GHz,1866 MHz,2,2 × 256 KB,4 MB,DMI,13×,2× DDR3-800,0.75–1.35 V,35 W,LGA 1366,"February 11, 2010",AT80612002931AB,$302,,
18,Xeon EC3539,SLBWJ (B0),2.13 GHz,—,4,4 × 256 KB,8 MB,DMI,16×,3 × DDR3-1066,0.75–1.35 V,65 W,LGA 1366,"February 11, 2010",AT80612003090AA,$302,,
19,Xeon L3403[4][5],SLBT9 (K0) SLBRX (C2),2 GHz,—,2,2 × 256 KB,4 MB,DMI,15×,2 × DDR3-1066,0.65–1.40 V,30 W,LGA 1156,October 2010,CM80616005496AB,OEM,,—
20,Xeon L3406,SLBT8 (K0) SLBQQ (C2),2.27 GHz,2.53 GHz,2,2 × 256 KB,4 MB,DMI,17×,2 × DDR3-1066,0.65–1.40 V,30 W,LGA 1156,"March 16, 2010",CM80616005010AA BX80616L3406,$189,,—
21,Xeon W3670,SLBVE (B1),3.2 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,1 × 4.8 GT/s QPI,24×,3 × DDR3-1066,0.8–1.375 V,130 W,LGA 1366,"August 29, 2010",AT80613005490AC BX80613W3670,$885,,
22,Xeon W3680,SLBV2 (B1),3.33 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,1 × 6.4 GT/s QPI,25×,3 × DDR3-1333,0.8–1.375 V,130 W,LGA 1366,"March 16, 2010",AT80613003543AF BX80613W3680,$999,,
23,Xeon W3690,SLBW2 (B1),3.47 GHz,1/1/1/1/2/2,6,6 × 256 KB,12 MB,1 × 6.4 GT/s QPI,26×,3 × DDR3-1333,0.8–1.375 V,130 W,LGA 1366,"February 14, 2011",AT80613005931AB BX80613W3690,$999,,
24,Xeon E5502,SLBEZ (D0),1.87 GHz,—,2,2× 256 KB,4 MB,2 × 4.8 GT/s QPI,14×,3 × DDR3-800,0.75–1.35 V,80 W,LGA 1366,"March 30, 2009",AT80602000804AA,$188,,
25,Xeon E5503,SLBKD (D0),2 GHz,—,2,2× 256 KB,4 MB,2 × 4.8 GT/s QPI,15×,3 × DDR3-800,0.75–1.35 V,80 W,LGA 1366,"March 16, 2010",AT80602003636AA,$224,,
26,Xeon L5508,SLBGK (D0),2 GHz,2/3,2,2× 256 KB,8 MB,2 × 5.86 GT/s QPI,15×,3 × DDR3-1066,0.75–1.35 V,38 W,LGA 1366,"March 30, 2009",AT80602002697AC,$440,,
27,Xeon E5504,SLBF9 (D0),2 GHz,—,4,4 × 256 KB,4 MB,2 × 4.8 GT/s QPI,15×,3 × DDR3-800,0.75–1.35 V,80 W,LGA 1366,"March 30, 2009",AT80602000801AA,$224,,
28,Xeon E5506,SLBF8 (D0),2.13 GHz,—,4,4 × 256 KB,4 MB,2 × 4.8 GT/s QPI,16×,3 × DDR3-800,0.75–1.35 V,80 W,LGA 1366,"March 30, 2009",AT80602000798AA,$266,,
29,Xeon E5507,SLBKC (D0),2.27 GHz,—,4,4 × 256 KB,4 MB,2 × 4.8 GT/s QPI,17×,3 × DDR3-800,0.75–1.35 V,80 W,LGA 1366,"March 16, 2010",AT80602000795AA,$266,,
30,Xeon E5520,SLBFD (D0),2.27 GHz,1/1/1/2,4,4 × 256 KB,8 MB,2 × 5.86 GT/s QPI,17×,3 × DDR3-1066,0.75–1.35 V,80 W,LGA 1366,"March 30, 2009",AT80602002091AA,$373,,
31,Xeon E5530,SLBF7 (D0),2.4 GHz,1/1/1/2,4,4 × 256 KB,8 MB,2 × 5.86 GT/s QPI,18×,3 × DDR3-1066,0.75–1.35 V,80 W,LGA 1366,"March 30, 2009",AT80602000792AA,$530,,
