release,EPT,VMDQ,VPID,SR-IOV,PML,CMT,CAT,CDP,MBM,MBA,SPP
xen-3.1.0-src,0,0,0,0,0,0,0,0,0,0,0
xen-3.1.3,0,0,0,0,0,0,0,0,0,0,0
xen-3.1.4,0,0,0,0,0,0,0,0,0,0,0
xen-3.2.0,0,0,0,0,0,0,0,0,0,0,0
xen-3.2.1,0,0,0,0,0,0,0,0,0,0,0
xen-3.2.2,0,0,0,0,0,0,0,0,0,0,0
xen-3.2.3,0,0,0,0,0,0,0,0,0,0,0
xen-3.3.0,0,0,0,0,0,0,0,0,0,0,0
xen-3.3.1,0,0,0,0,0,0,0,0,0,0,0
xen-3.3.2,1,0,1,0,0,0,0,0,0,0,0
xen-3.4.0,1,1,1,1,0,0,0,0,0,0,0
xen-3.4.1,1,0,1,1,0,0,0,0,0,0,0
xen-3.4.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.0.0,1,0,1,1,0,0,0,0,0,0,0
xen-4.0.1,1,0,1,1,0,0,0,0,0,0,0
xen-4.0.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.0.3,1,0,1,1,0,0,0,0,0,0,0
xen-4.0.4,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.0,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.1,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.3,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.4,1,0,1,1,0,0,0,0,0,0,0
xen-4.1.5,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.0,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.1,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.3,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.4,1,0,1,1,0,0,0,0,0,0,0
xen-4.2.5,1,0,1,1,0,0,0,0,0,0,0
xen-4.3.0,1,0,1,1,0,0,0,0,0,0,0
xen-4.3.1,1,0,1,1,0,0,0,0,0,0,0
xen-4.3.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.3.3,1,0,1,1,0,0,0,0,0,0,0
xen-4.3.4,1,0,1,1,0,0,0,0,0,0,0
xen-4.4.0,1,0,1,1,0,0,0,0,0,0,0
xen-4.4.1,1,0,1,1,0,0,0,0,0,0,0
xen-4.4.2,1,0,1,1,0,0,0,0,0,0,0
xen-4.4.3,1,0,1,1,0,0,0,0,0,0,0
xen-4.4.4,1,0,1,1,0,0,0,0,0,0,0
xen-4.5.0,1,0,1,1,0,1,0,0,0,0,0
xen-4.5.1,1,0,1,1,0,1,0,0,0,0,0
xen-4.5.2,1,0,1,1,0,1,0,0,0,0,0
xen-4.5.3,1,0,1,1,0,1,0,0,0,0,0
xen-4.5.5,1,0,1,1,0,1,0,0,0,0,0
xen-4.6.0,1,0,1,1,1,1,1,0,1,0,0
xen-4.6.1,1,0,1,1,1,1,1,0,1,0,0
xen-4.6.3,1,0,1,1,1,1,1,0,1,0,0
xen-4.6.4,1,0,1,1,1,1,1,0,1,0,0
xen-4.6.5,1,0,1,1,1,1,1,0,1,0,0
xen-4.6.6,1,0,1,1,1,1,1,0,1,0,0
xen-4.7.0,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.1,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.2,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.3,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.4,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.5,1,0,1,1,1,1,1,1,1,0,0
xen-4.7.6,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.0,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.1,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.2,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.3,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.4,1,0,1,1,1,1,1,1,1,0,0
xen-4.8.5,1,0,1,1,1,1,1,1,1,0,0
xen-4.9.0,1,0,1,1,1,1,1,1,1,0,0
xen-4.9.1,1,0,1,1,1,1,1,1,1,0,0
xen-4.9.2,1,0,1,1,1,1,1,1,1,0,0
xen-4.9.3,1,0,1,1,1,1,1,1,1,0,0
xen-4.9.4,1,0,1,1,1,1,1,1,1,0,0
xen-4.10.0,1,0,1,1,1,1,1,1,1,0,0
xen-4.10.1,1,0,1,1,1,1,1,1,1,0,0
xen-4.10.2,1,0,1,1,1,1,1,1,1,0,0
xen-4.10.3,1,0,1,1,1,1,1,1,1,0,0
xen-4.10.4,1,0,1,1,1,1,1,1,1,0,0
xen-4.11.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.11.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.11.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.11.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.11.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.12.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.12.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.12.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.12.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.12.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.13.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.13.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.13.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.13.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.13.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.5,1,0,1,1,1,1,1,1,1,1,0
xen-4.14.6,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.15.5,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.3,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.4,1,0,1,1,1,1,1,1,1,1,0
xen-4.16.5,1,0,1,1,1,1,1,1,1,1,0
xen-4.17.0,1,0,1,1,1,1,1,1,1,1,0
xen-4.17.1,1,0,1,1,1,1,1,1,1,1,0
xen-4.17.2,1,0,1,1,1,1,1,1,1,1,0
xen-4.18.0,1,0,1,1,1,1,1,1,1,1,0
